Title:The GALAH Survey: A New Sample of Extremely Metal-Poor Stars Using A Machine Learning Classification Algorithm 
Authors: Arvind C.N Hughes, Lee R. Spitler, Daniel B. Zucker, Thomas Nordlander, Jeffrey Simpson, Gary S. Da Costa, Yuan-Sen Ting, Chengyuan Li, Joss Bland-Hawthorn, Sven Buder, Andrew R. Casey, Gayandhi M. De Silva, Valentina D'Orazi, Ken C. Freeman, Michael R. Hayden, Janez Kos, Geraint F. Lewis, Jane Lin, Karin Lind, Sarah L. Martell, Katharine J. Schlesinger, Sanjib Sharma, Tomaz Zwitter, and the GALAH Collaboration
Table:Full Extremely Metal-Poor Candidate List
================================================================================
Byte-by-byte Description of file: EMPCandidates.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label      Explanations
--------------------------------------------------------------------------------
   1- 15 A15    --         sobjectID  GALAH identifier
  17- 27 A11    deg        RaDeg      Right ascension
  29- 40 A12    deg        DecDeg     Declination
  42- 45 A4     K          Teff       Effective temperature from the synthetic fitting method
  47- 50 A4     [cm.s-2]   Logg       Surface gravity from the synthetic fitting method
  52- 56 A5     --         Feh        Metallicity from the synthetic fitting method
--------------------------------------------------------------------------------
Note (1):   ***ADD LENGTHY NOTES HERE***
Note (2):   ***OR REMOVE THIS SECTION***
--------------------------------------------------------------------------------
﻿s_object_ID  RA          DEC          TEFF LOGG FEH   
131123002501215 63.5677656  -60.15131054 5000 0.50 -3.00 
131217002301168 64.83348609 -58.67835002 5200 0.50 -3.10 
140312003501132 203.154833  -38.00918109 4900 0.50 -3.30 
140711001301222 242.6308016 -25.33756333 5000 0.50 -3.20 
140808004701080 28.06196804 -72.32051859 5600 0.75 -3.40 
150409007101022 211.8979193 -9.489984258 5000 0.50 -3.20 
150428001601083 239.9832629 -20.4327138  4800 0.50 -3.00 
150429004101198 242.5267394 -25.44578644 5100 0.50 -3.30 
150603001801237 220.530983  -20.58008392 4500 1.75 -3.00 
150603001801325 221.3096664 -20.86536174 4900 0.50 -3.00 
151225002101108 95.23344213 -54.67558105 6100 1.50 -3.60 
160328004201328 216.543444  -33.71345854 5000 0.50 -3.50 
160328004201370 217.0539691 -33.70329667 4900 0.50 -3.40 
160415004601352 239.375408  -29.65631563 5000 0.50 -3.10 
160421002101189 142.2306199 -5.361568297 6100 1.50 -3.10 
160425001901109 194.4650247 -33.60585745 5000 0.50 -3.20 
160514003301102 228.1986018 -18.86891356 5000 0.50 -3.20 
160519003601381 199.7519568 -41.46931184 5300 0.50 -3.00 
160529002901223 190.761361  -46.33687068 6100 1.50 -3.20 
160530003301334 212.14239   -26.36416696 5900 0.75 -3.00 
160814000101211 247.0902914 3.514626793  4700 0.50 -3.10 
160815004301216 336.1035792 7.121349961  4800 0.50 -3.10 
160916001801204 306.143772  -42.55946383 5100 0.50 -3.00 
161006003901330 329.1723642 -78.38797978 5700 0.75 -3.20 
161007002801147 320.428821  -28.68822562 6200 2.25 -3.00 
161011003401196 65.72133462 -65.37538982 5100 0.50 -3.10 
161104004301021 75.15414393 -40.88668866 6100 1.75 -3.20 
161106003101195 353.3550516 -3.434791027 6300 3.00 -3.10 
161118004701028 77.53594536 -37.33881211 5300 0.50 -3.20 
161118005201202 106.425434  -36.834739   5900 1.25 -3.30 
170130004601208 183.5814111 -0.613499415 5200 0.50 -3.30 
170206005201228 171.2662441 -41.31783106 5700 0.50 -3.00 
170312001601051 230.4164603 -35.63581821 5800 2.50 -3.00 
170404002601178 228.8722668 -8.059092395 5000 0.50 -3.00 
170408004501131 215.5085338 -26.40977669 5100 0.50 -3.10 
170412003901087 188.7332917 -49.43727268 6200 2.00 -4.25 
170412004901087 188.7332917 -49.43727268 6100 1.50 -4.50 
170510004301315 260.0112839 -20.65185042 5000 0.50 -3.10 
170515005101325 256.3736369 -59.25456529 5100 0.50 -3.20 
170602003701033 215.9679712 -37.85171547 6100 1.50 -3.10 
170711005101182 323.511793  -62.4059151  5000 0.50 -3.30 
170723002101013 234.5188315 -14.56709308 5400 0.75 -3.30 
170724002101121 236.3704534 -20.77902148 5000 0.50 -3.10 
170724003601059 310.0769857 -34.52033136 6000 1.25 -3.10 
170805005101087 13.28298805 -63.75053847 5100 0.50 -3.00 
170805005101110 12.68870588 -63.86403213 4800 0.50 -3.80 
170904000601186 322.6341264 -46.27351057 5000 0.50 -3.10 
170906004601108 15.56609979 -61.72946697 5100 0.50 -3.10 
170909002101185 317.881292  -12.12421984 5800 0.75 -3.00 
170911003101130 323.4175937 -32.24563341 5100 0.50 -3.10 
170912001201276 266.352724  6.224554448  4900 0.50 -3.00 
171206004101224 80.49115701 -50.16753726 5100 0.50 -3.00 
180102004101191 154.1834251 -31.4308328  5800 2.00 -3.00 
180126003201229 157.7086329 -58.02726729 5700 1.00 -7.00 
